Gremlins: The Blight of Kingston Falls,http://forums.somethingawful.com/showthread.php?threadid=3306647,Chili,13
Fall 1152 - Mouse Guard Mafia,http://forums.somethingawful.com/showthread.php?threadid=3297312,Somberbrero,14
A Mafia's Mafia 2: The Island of Dr. Mafia,http://forums.somethingawful.com/showthread.php?threadid=3313541,dy.,13
V for Vendetta Mafia,http://forums.somethingawful.com/showthread.php?threadid=3319122,Philip J. Fry,13
Dhaesd &amp; Confused,http://forums.somethingawful.com/showthread.php?threadid=3315141,Dhaes,15
McDonalds Mafia,http://forums.somethingawful.com/showthread.php?threadid=3323668,Dr. Science 9000,7
Wine In Front of All V: (Almost) CYOR Edition.,http://forums.somethingawful.com/showthread.php?threadid=3295655,fitsfadda,15
HOLD IT!  Phoenix Wright: Justice For All Mafia,http://forums.somethingawful.com/showthread.php?threadid=3305657,Pander,13
Chaos in Concord,http://forums.somethingawful.com/showthread.php?threadid=3316694,Tao Jones,15
Night at the Mystery Box Factory II: Battle of the RNG: TOM-MGotM!,http://forums.somethingawful.com/showthread.php?threadid=3311764,Snowberries,13
House MD,http://forums.somethingawful.com/showthread.php?threadid=3325440,Dhaes,5
Chianti Vigilantes - A Game of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3309393,EccoRaven,15
Achievement Unlocked! Mafia,http://forums.somethingawful.com/showthread.php?threadid=3301117,sc4rs,15
Back to the Beginning: A Game Of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3318074,winvirus,26
Pokemon: Mafia Version - Original 151 Mini-Mafia,http://forums.somethingawful.com/showthread.php?threadid=3315043,sc4rs,15
Ransacking People's Houses Mafia,http://forums.somethingawful.com/showthread.php?threadid=3313533,winvirus,8
SA Forums At War,http://forums.somethingawful.com/showthread.php?threadid=3323865,Fluffy Bunnies,15
Reservoir Dogs Mini-Mafia,http://forums.somethingawful.com/showthread.php?threadid=3306794,Shitty_Wok,13
Cursus Honorum,http://forums.somethingawful.com/showthread.php?threadid=3312235,wins32767,13
Anarchy in Arezzo - A Game of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3321817,EccoRaven,15
~~**Super Action Mafia**~~ No pussies allowed,http://forums.somethingawful.com/showthread.php?threadid=3333156,Shitty_Wok,11
Human Body Mafia II - Vote One, Vote All,http://forums.somethingawful.com/showthread.php?threadid=3333748,sc4rs,16
Hell's Kitchen Mini Mafia,http://forums.somethingawful.com/showthread.php?threadid=3331138,Deadbeat Dad,14
Murder Mystery Micro-Mafia,http://forums.somethingawful.com/showthread.php?threadid=3340615,Francois Kofko,5
Cheaters Mini Mafia!,http://forums.somethingawful.com/showthread.php?threadid=3333259,The Betrayer,13
Mass Effect: Citadel of Chaos,http://forums.somethingawful.com/showthread.php?threadid=3303359,Highwire,27
Seiken Densetsu 3 Mini Mafia,http://forums.somethingawful.com/showthread.php?threadid=3338469,Deadbeat Dad,15
Voodoofly is Getting Married (Mini-mafia, a game of mafia)!!!,http://forums.somethingawful.com/showthread.php?threadid=3348770,merk,9
Everyone's A Dayvig Mini-Mafia,http://forums.somethingawful.com/showthread.php?threadid=3350003,winvirus,9
Experiment C9-X: A Game Of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3352654,winvirus,7
Mafia-I don't carry around money in my wallet because beggars intimidate me,http://forums.somethingawful.com/showthread.php?threadid=3354220,winvirus,7
Experiment C9-1: A Game Of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3352652,winvirus,7
Firefly Mini-Mafia: An Interesting Day,http://forums.somethingawful.com/showthread.php?threadid=3320782,Somberbrero,14
Help Me Make Friends,http://forums.somethingawful.com/showthread.php?threadid=3354994,winvirus,14
Spooky Shit Mini Mafia-Halloween Themed,http://forums.somethingawful.com/showthread.php?threadid=3353065,Fluffy Bunnies,11
Tussle at Tammany Hall,http://forums.somethingawful.com/showthread.php?threadid=3325861,Tao Jones,11
Shit Post Mafia III: The Return,http://forums.somethingawful.com/showthread.php?threadid=3335047,Tao Jones,15
Mad Science Mafia. The only thing worse than science is Mad Science.,http://forums.somethingawful.com/showthread.php?threadid=3329130,bowmore,15
Rules Mafia,http://forums.somethingawful.com/showthread.php?threadid=3336033,winvirus,13
Mineral Mini Mafia,http://forums.somethingawful.com/showthread.php?threadid=3325166,Uranium Phoenix,13
Browser Mafia: Game or psychological experiment? You Decide!,http://forums.somethingawful.com/showthread.php?threadid=3324927,modestduty,24
The Siege of Stanchion Point - A Starcraft Mafia Game,http://forums.somethingawful.com/showthread.php?threadid=3352733,Highwire,29
Beyond Good and Evil,http://forums.somethingawful.com/showthread.php?threadid=3359465,Tao Jones,15
Journey to the West,http://forums.somethingawful.com/showthread.php?threadid=3355412,Golden_Zucchini,13
Summer Knight - A Case in the Dresden Files,http://forums.somethingawful.com/showthread.php?threadid=3353317,Casao,13
Dragon Ball Z Mini Mafia,http://forums.somethingawful.com/showthread.php?threadid=3323494,Deadbeat Dad,15
The Book of Genesis Mini-Mafia,http://forums.somethingawful.com/showthread.php?threadid=3334973,Snowberries,14
Good news, everyone! Futurama: Revenge of the Robot Mafia,http://forums.somethingawful.com/showthread.php?threadid=3341540,Mordiceius,15
The Universe In Peril - A Doctor Who Minimafia,http://forums.somethingawful.com/showthread.php?threadid=3332035,Mordiceius,14
TAKE THAT!  Phoenix Wright: Trials and Tribulations Mafia,http://forums.somethingawful.com/showthread.php?threadid=3323874,Pander,13
Blues Brothers Mafia,http://forums.somethingawful.com/showthread.php?threadid=3337950,Dr. Science 9000,14
Go Fug Yourself! Mini Mafia.,http://forums.somethingawful.com/showthread.php?threadid=3298444,Savahontas,13
Snow Science Mafia: there's no science like snow science,http://forums.somethingawful.com/showthread.php?threadid=3324589,Clueless Tuquee,15
what. Mafia,http://forums.somethingawful.com/showthread.php?threadid=3342907,bowmore,12
Inception,http://forums.somethingawful.com/showthread.php?threadid=3347004,Chili,15
Captain Blood,http://forums.somethingawful.com/showthread.php?threadid=3350819,Scientastic,15
Vagaries in Venice - A Game of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3340370,EccoRaven,15
Clown College,http://forums.somethingawful.com/showthread.php?threadid=3355072,wins32767,15
DotA Mafia: do not run we are your friends,http://forums.somethingawful.com/showthread.php?threadid=3327891,winvirus,15
The Gateless Gate,http://forums.somethingawful.com/showthread.php?threadid=3360607,LITERALLY MAD IRL,13
Lost II,http://forums.somethingawful.com/showthread.php?threadid=3351598,Deadbeat Dad,30
English Premier League Mafia,http://forums.somethingawful.com/showthread.php?threadid=3349673,Fat Turkey,15
A Eulogy in Euskara - A Game of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3349440,EccoRaven,15
Harry Potter and the Blood of Heroes,http://forums.somethingawful.com/showthread.php?threadid=3340941,soru,25
Megaten Mafia,http://forums.somethingawful.com/showthread.php?threadid=3320508,fitsfadda,38
Terry Gilliam Presents Episode Two: Army of the Twelve Monkeys,http://forums.somethingawful.com/showthread.php?threadid=3327286,Ridonkulous,11
La Calavera de Naffaroa - A Game of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3362530,EccoRaven,15
A Gay Romp in Guernica - A Game of Mafia,http://forums.somethingawful.com/showthread.php?threadid=3356718,EccoRaven,15
Battleception Termination Mafia,http://forums.somethingawful.com/showthread.php?threadid=3356435,Uranium Phoenix,15
I've got you now, Snatcher scum!,http://forums.somethingawful.com/showthread.php?threadid=3362715,Namacuix,13
Consequences Mafia,http://forums.somethingawful.com/showthread.php?threadid=3364962,Chili,13
Dhaesd &amp; Confused 2: Big Game,http://forums.somethingawful.com/showthread.php?threadid=3349963,Dhaes,27
Sharks Are Jerks Mini-Mafia,http://forums.somethingawful.com/showthread.php?threadid=3361242,fitsfadda,13
This Game Sucks!,http://forums.somethingawful.com/showthread.php?threadid=3362341,This Post Sucks,15
Curtis Got Slapped By A White Teacher,http://forums.somethingawful.com/showthread.php?threadid=3365064,winvirus,11
Mafia Gear Solid: Showdown at Shadow Moses,http://forums.somethingawful.com/showthread.php?threadid=3355356,Grinnblade,15
Hello posters.  I want to play a game.,http://forums.somethingawful.com/showthread.php?threadid=3358193,Pander,15
>>> 
